次序(int),活動(string),日期(datetime)
1,開學典禮、社團聯展,2012/9/8
2,兩岸三校學生運動友誼賽,2012/10/30
3,期中考,2012/11/5
4,海外教育展,2012/11/10
5,校慶,2012/11/15
6,園遊會,2012/11/17
7,校園馬拉松,2012/12/1
8,期末考,2013/1/7
9,寒假開始,2013/1/14
10,寒假結束,2013/2/18
11,校園徵才,2013/3/10
12,杜鵑花節、社團博覽會,2013/3/16
13,運動會,2013/3/30
14,期中考,2013/4/15
15,台大藝術季,2013/5/3
16,畢業典禮,2013/6/15
17,期末考,2013/6/17
18,暑假開始,2013/6/24
19,教學成果發表會,2013/6/26
20,開學典禮、社團聯展,2013/9/7
21,期中考,2013/11/4
22,海外教育展、校慶,2013/11/15
23,園遊會,2013/11/16
24,校園馬拉松,2013/11/30
25,期末考,2014/1/6
26,寒假開始,2014/1/13
27,寒假結束,2014/2/17
28,校園徵才,2014/3/9
29,杜鵑花節、社團博覽會,2014/3/15
30,運動會,2014/3/22
31,期中考,2014/4/14
32,台大藝術季,2014/5/2
33,畢業典禮,2014/6/7
34,期末考,2014/6/16
35,暑假開始,2014/6/23
36,教學成果發表會,2014/6/25
37,開學典禮、社團聯展,2014/9/13
38,期中考,2014/11/10
39,海外教育展、校慶,2014/11/15
40,園遊會,2014/11/16
41,校園運動會,2014/11/22
42,期末考,2015/1/12
43,寒假開始,2015/1/19
44,寒假結束,2015/2/24
45,校園徵才,2015/3/8
46,杜鵑花節、社團博覽會,2015/3/14
47,校園馬拉松,2015/3/28
48,期中考,2015/4/20
49,台大藝術季,2015/5/8
50,畢業典禮,2015/6/13
51,期末考,2015/6/22
52,暑假開始,2015/6/29
53,教學成果發表會,2015/6/28
54,開學典禮、社團聯展,2015/9/19
55,海外教育展,2015/11/8
56,期中考,2015/11/9
57,校慶,2015/11/15
58,校園運動會,2015/11/21
59,期末考,2016/1/11
60,寒假開始,2016/1/18
61,寒假結束,2016/2/22
62,校園徵才,2016/3/6
63,杜鵑花節、社團博覽會,2016/3/12
64,校園馬拉松,2016/3/26
65,期中考,2016/4/18
66,台大藝術季,2016/5/6
67,畢業典禮,2016/6/5
68,期末考,2016/6/20
69,暑假開始、教學成果發表會,2016/6/27
70,期中考,2016/11/7
71,園遊會,2016/11/12
72,校慶、海外教育展,2016/11/15
73,校園運動會,2016/11/19
74,期末考,2017/1/9
75,寒假開始,2017/1/16
76,寒假結束,2017/2/20
77,校園徵才,2017/3/5
78,杜鵑花節、社團博覽會,2017/3/11
79,校園馬拉松,2017/3/25
80,期中考,2017/4/17
81,台大藝術季,2017/5/5
82,畢業典禮,2017/6/4
83,期末考,2017/6/19
